"Date","Site","TP.ugL","SRP.ugL","DP.ugL","PP.ugL","DOP.ugL","TN.mgL","NOx.mgL","NH4.mgL","DIN.mgL","SolN.mgL","Urea.mgL","DON.mgL","TON.mgL","TKN.mgL","TOC.mgL","SolOC.mgL","Cond","DO.per","Colour_PCU","Turb.NTU","Secchi_cm","Temp.C","pH","Phyco.ugL","TChl.ugL","TN_TP","DIN_SRP"
2009-10-15,"Lake_Inlet",18,NA,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,280,NA,NA,NA,NA,4.28,NA,NA,NA,NA,NA
2009-10-22,"Lake_Inlet",39,NA,15,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,344,NA,NA,NA,NA,5.53,NA,NA,NA,NA,NA
2009-10-25,"Lake_Inlet",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
2009-10-29,"Lake_Inlet",25,NA,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,NA,4.08,NA,NA,NA,NA,NA
2009-11-05,"Lake_Inlet",15,NA,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,3.06,NA,NA,NA,NA,NA
2009-11-12,"Lake_Inlet",12,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA
2009-11-19,"Lake_Inlet",18,NA,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA
2009-11-26,"Lake_Inlet",30,NA,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,4.63,NA,NA,NA,NA,NA
2009-12-04,"Lake_Inlet",49,11,25,24,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,3.91,NA,NA,NA,NA,NA
2009-12-10,"Lake_Inlet",24,2,17,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA
2010-01-14,"Lake_Inlet",15,2,12,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA
2010-02-11,"Lake_Inlet",22,7,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA
2010-03-11,"Lake_Inlet",38,7,21,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA
