"Taxa","conc.numbL","tot.biovol.um3L","date"
"Unidentified ciliates",160,1677326.12106667,2020-02-21
"Vorticella",120,6112700.8,2020-02-21
"Strobilidium",160,18389517.7679012,2020-02-21
"Tintinnopsis",120,2267760,2020-02-21
"Rotifers",560,28447304.6889679,2020-02-21
"Vorticella",600,29577661.75,2020-03-30
"Strobilidium",120,1378585.6,2020-03-30
"Tintinnopsis sp. 1",4520,298581030,2020-03-30
"Tintinnopsis sp. 2",40,3536487.8,2020-03-30
"Unidentified ciliates",80,578764.8,2020-03-30
"Rotifers",5360,333652529.95,2020-03-30
"Tintinnopsis sp. 1",33.3333333333333,5233333.33333333,2020-05-12
"Tintinnopsis sp. 2",66.6666666666667,3369586.33333333,2020-05-12
"Vorticella",66.6666666666667,6807240.88888889,2020-05-12
"Ciliated protozoans (unidentified)",200,47319870.3229167,2020-05-12
"Tintinnopsis sp. 1",100,8415200,2020-06-01
"Strobilidium",366.666666666667,35282993.7777778,2020-06-01
"Vorticella",100,8240616,2020-06-01
"Unidentified ciliates",400,19858197.3333333,2020-06-01
"Strobilidium",50,3455439.16666667,2020-06-26
"Tintinnopsis sp. 1",100,7410400,2020-06-26
"Tintinnopsis sp. 2",50,1683471.75,2020-06-26
"Unidentified ciliates",100,2077110,2020-06-26
"Unidentified ciliates",21300,104625600,2020-08-22
"Unidentified ciliates",27843,85795048.96,2020-08-31
"Strobilidium sp.",20285.7142857143,84890044.8511905,2020-10-15
"Unidentified ciliates",85200,302800800,2020-11-11
"Unidentified ciliates",100,150800,2020-01-20
"Tintinnopsis sp. 1",166.666666666667,12560000,2021-01-31
"Unidentified ciliates ",333.333333333333,512866.666666667,2021-01-31
"Difflugia sp.",166.666666666667,25120000,2021-01-31
"Strobilidium",1577.77777777778,3487772.44444444,2021-01-31
"Tintinnopsis sp. 1",788.888888888889,63414044.4444444,2021-01-31
"Unidentified ciliates ",2366.66666666667,8718811.83333333,2021-01-31
"Difflugia sp.",1577.77777777778,273948672,2021-01-31
"Tintinnopsis sp. 2",9466.66666666667,256826880,2021-01-31
"Unidentified ciliates ",7100,165378130.555556,2021-01-31
"Difflugia sp.",9466.66666666667,301771584,2021-01-31
