"GenusSpp","Conc.cellsmL","totbiovol.um3mL","indbiovol.um3","date","month","CY","genus","order","class","diaztroph","diaztroph.fac"
"Achnanthdium sp.",78.5392,NA,253,2013-05-05,5,2013,"Achnanthdium","Achnanthales","Bacillariophyceae",NA,"NoClass"
"Actinastrum gracillimum",800,3349.33333333333,4.18666666666667,2017-05-15,5,2017,"Actinastrum","Chlorellales","Trebouxiophyceae",NA,"NoClass"
"Actinastrum hantzschii",75,1256,16.7466666666667,2016-10-16,10,2016,"Actinastrum","Chlorellales","Trebouxiophyceae",NA,"NoClass"
"Actinastrum hantzschii",34444.4444444444,78112.3456790123,2.26777777777778,2016-09-15,9,2016,"Actinastrum","Chlorellales","Trebouxiophyceae",NA,"NoClass"
"Acutodesmus acuminatus",47.3333333333333,851.506944444444,17.9895833333333,2020-05-12,5,2020,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus dimorphus",400,50240,125.6,2020-08-11,8,2020,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus dimorphus",67.6190476190476,3184.85714285714,47.1,2018-05-15,5,2018,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus dimorphus",1666.66666666667,209333.333333333,125.6,2016-09-15,9,2016,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus dimorphus",200,2512,12.56,2017-05-15,5,2017,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus obliquus",56.8,12588.6786666667,221.631666666667,2019-07-16,7,2019,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus obliquus",500,98125,196.25,2018-08-14,8,2018,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus obliquus",200,13188,65.94,2020-07-14,7,2020,"Tetradesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Acutodesmus pectinatus",250,16746.6666666667,66.9866666666667,2019-09-17,9,2019,"Acutodesmus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Amphiprora sp.",3,NA,79003.1,2014-05-20,5,2014,"Amphiprora","Naviculales","Bacillariophyceae",NA,"NoClass"
"Amphora sp.",16.9047619047619,19474.2857142857,1152,2018-05-15,5,2018,"Amphora","Thalassiophysales","Bacillariophyceae",NA,"NoClass"
"Amphora sp.",28.4,86033.0666666667,3029.33333333333,2018-10-16,10,2018,"Amphora","Thalassiophysales","Bacillariophyceae",NA,"NoClass"
"Amphora sp.",250,1205760,4823.04,2017-08-15,8,2017,"Amphora","Thalassiophysales","Bacillariophyceae",NA,"NoClass"
"Anabaena cf. crassa",19242.104,NA,572.2,2013-06-13,6,2013,"Dolichospermum","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena cf. crassa",10207.08,13326706.0912,523.6,2011-06-26,6,2011,"Dolichospermum","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena cf. mendotae",438,NA,108.9,2013-05-05,5,2013,"Dolichospermum","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena flos-aquae",590614.784,NA,118.8,2013-06-13,6,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena flos-aquae",24950.64,NA,212.2,2011-06-26,6,2011,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena lemmermannii",238759.168,NA,137.4,2013-06-13,6,2013,"Dolichospermum","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena mendotae",238759.168,NA,43.1,2013-06-13,6,2013,"Dolichospermum","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena mendotae",8010.9984,NA,55.6,2012-06-13,6,2012,"Dolichospermum","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",27,NA,523.6,2013-05-05,5,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",380,NA,NA,2009-08-23,8,2009,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
