ID,GenusSpp,GenusSpp_clean
1,Asterionella formosa,Asterionella formosa
2,Aulacoseira sp #1,Aulacoseira sp
3,Cyclotella sp,Cyclotella sp
4,Coelastrum sp,Coelastrum sp
5,Cosmarium sp,Cosmarium sp
6,Crucigenia tetrapedia,Crucigenia tetrapedia
7,Crucigeniella crucifera,Crucigeniella crucifera
8,Desmodesmus communis,Desmodesmus communis
9,Elakatothrix genevensis,Elakatothrix genevensis
10,Golenkinia radiata ,Golenkinia radiata 
11,Oocystis pusilla ,Oocystis pusilla 
12,Oocystis solitaria,Oocystis solitaria
13,Pediastrum biradiatum,Pediastrum biradiatum
14,Pediastrum boryanum,Pediastrum boryanum
15,Pediastrum duplex,Pediastrum duplex
16,Pediastrum tetras,Pediastrum tetras
17,Quadrigula closterioides,Quadrigula closterioides
18,Scenedesmus ellipticus,Scenedesmus ellipticus
19,Selenastrum capricornutum ,Selenastrum capricornutum 
20,Sphaerocystis schroeteri ,Sphaerocystis schroeteri 
21,Tetraedron caudata,Tetraedron caudata
22,Tetraëdron minimum,Tetraëdron minimum
23,Tetraëdron trigonum,Tetraëdron trigonum
24,Cryptomonas erosa,Cryptomonas erosa
25,Chroococcus minutus,Chroococcus minutus
26,Dolichosprmum sp,Dolichosprmum sp
27,Microcystis aeruginosa,Microcystis aeruginosa
28,Ceratium sp,Ceratium sp
29,Euglena sp,Euglena sp
30,Trachelomonas sp,Trachelomonas sp
31,Navicula,Navicula
32,Chlamydomonas,Chlamydomonas
33,Monoraphidium komarkovae,Monoraphidium komarkovae
34,Kephyrion sp,Kephyrion sp
35,Cryptomonas curvata,Cryptomonas curvata
36,Cryptomonas marssonii,Cryptomonas marssonii
37,Cryptomonas ovata  ,Cryptomonas ovata  
38,Plagioselmis nannoplanctica,Plagioselmis nannoplanctica
39,Pseudanabaena,Pseudanabaena
40,Glenodinium,Glenodinium
41,Euglena,Euglena
42,Phacus,Phacus
43,Nitzschia,Nitzschia
